昵称,地区,日期,评论,评论点赞
咖啡苦味,广东,2025-03-01 13:44:54,[流泪][流泪][流泪],2
黎挞挞,湖南,2025-03-01 13:44:55,[流泪][流泪][流泪],2
花海.,陕西,2025-03-01 13:44:54,[泣不成声][泣不成声][泣不成声],2
超级无敌宇宙第一暴龙兽,广东,2025-03-01 13:44:52,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],2
白.,湖北,2025-03-01 13:44:47,[流泪][流泪][流泪],2
薇薇薇薇尔莉特_,广东,2025-03-01 13:44:47,[玫瑰][玫瑰][玫瑰],2
J_,福建,2025-03-01 13:44:54,🕯️🕯️🕯️,2
早-香菇,广东,2025-03-01 13:44:51,[流泪][流泪][流泪],2
鹿鸣.,江苏,2025-03-01 13:44:54,[玫瑰],2
kk,山东,2025-03-01 14:07:15,🕯️,0
清风明月ヾ(･`⌓´･)ﾉﾞ,广东,2025-03-01 13:44:44,太突然了,3
12138,重庆,2025-03-01 13:44:16,无法接受！！！！,40
生活索然无味 尸体cos人类,四川,2025-03-01 13:44:48,我真的崩溃了[流泪][流泪][流泪],20
壹-,辽宁,2025-03-01 13:44:49,？昨天还在听他的歌,115
free,上海,2025-03-01 13:44:45,大同[流泪][流泪][流泪][流泪][流泪][流泪],4
赐我决绝勇气,陕西,2025-03-01 13:44:46,？今天也不是愚人节啊,165
薰,安徽,2025-03-01 13:44:44,太突然了吧,8
东直门胡歌,北京,2025-03-01 13:44:46,难以置信[泣不成声],3
Chosen1,上海,2025-03-01 13:44:32,rip,2
HE118,广东,2025-03-01 13:44:37,[流泪],1
Mi Manchi,四川,2025-03-01 13:44:54,没想到啊,4
小含含,福建,2025-03-01 13:44:46,@miki崽崽 @荔枝. @米其林小猪 [流泪][流泪][流泪],1
&七海,山东,2025-03-01 13:44:48,wo bu xin,1
SayKimiWell,河北,2025-03-01 13:44:54,[感谢][感谢][感谢],1
崇左没有雪天,广西,2025-03-01 13:44:54,[流泪][流泪][流泪],1
冬天来之前挽回,广东,2025-03-01 13:44:37,🕯️,1
我不愿让你一个人,福建,2025-03-01 13:44:50,啊？？。？,1
建国,山东,2025-03-01 13:44:55,不敢相信呀[流泪],2
YH豆花,广东,2025-03-01 13:43:10,不会吧[流泪][流泪],75
快乐克隆快乐,广西,2025-03-01 13:44:54,这么突然[红脸],6
春,江苏,2025-03-01 13:44:53,啊，这么突然,3
阿处,广东,2025-03-01 14:03:05,不要啊 不要啊 卧槽,0
𝑩,福建,2025-03-01 13:44:46,大同，[流泪],1
远山黛黛☁️,广东,2025-03-01 13:44:38,[眼含热泪][眼含热泪][眼含热泪]不敢相信,14
77,广东,2025-03-01 13:44:47,不要啊,5
匹诺曹🍑,河南,2025-03-01 13:44:08,我天,4
凌雾思,山东,2025-03-01 13:44:42,默哀,3
DRAKEN,北京,2025-03-01 13:44:43,一路走好🕯️,3
joe,四川,2025-03-01 13:44:54,真的假的,190
早点到家,广东,2025-03-01 13:44:42,@Hhhhhy wdf,1
喝水的刚子,河北,2025-03-01 13:44:51,[发呆][发呆][发呆],1
秧,四川,2025-03-01 13:44:51,[流泪],1
xxxibmlrgn,河北,2025-03-01 13:44:32,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]Rip,3
Elo,重庆,2025-03-01 13:44:54,🕯️,1
土豆粉土豆,福建,2025-03-01 13:44:53,[流泪][流泪][流泪],1
有机盐,广东,2025-03-01 13:44:42,🕯️,1
欲语泪先流,四川,2025-03-01 13:44:50,[流泪],1
ruben🐨,四川,2025-03-01 13:44:54,？？？你儿豁,14
咯咯哒大王,河北,2025-03-01 13:44:54,[流泪][流泪][流泪],2
牛奶.🩶,浙江,2025-03-01 13:44:47,[苦涩][苦涩][苦涩],1
𝐀𝐧𝐢𝐦𝐞,江苏,2025-03-01 13:44:53,太突然了,1
西瓜桃,山东,2025-03-01 13:44:54,啊！！？,1
U,海南,2025-03-01 13:44:43,走好[流泪][流泪][流泪],1
.11.,江苏,2025-03-01 13:44:51,赶紧辟谣啊[流泪][流泪][流泪],17
万花街🎸（万花筒乐队）,广东,2025-03-01 14:43:58,啥！,1
c。,浙江,2025-03-01 13:44:28,？,4
心野且自由,山东,2025-03-01 13:44:53,阿？,1
左小雯,四川,2025-03-01 15:05:24,一路走好啊[流泪],0
乐儿🍃,山东,2025-03-01 13:44:43,@doki [流泪][流泪][流泪],1
ˣ,四川,2025-03-01 13:44:51,[玫瑰][玫瑰][玫瑰],1
我叫早睡同学,湖北,2025-03-01 13:44:52,[流泪][流泪][流泪][流泪],1
吃口大便,浙江,2025-03-01 13:44:52,[玫瑰][玫瑰][玫瑰],1
大鹅的裤头,吉林,2025-03-01 13:44:32,[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪],1
我可不止两把刷子,湖北,2025-03-01 13:44:53,[流泪][流泪][流泪],1
木头人fuze,湖北,2025-03-01 13:44:53,[疑问][疑问][疑问],2
Kaneki Ken,北京,2025-03-01 13:44:53,[泣不成声][泣不成声][泣不成声],1
Revenge,江西,2025-03-01 13:44:53,[流泪][流泪][流泪],1
ZzzzzR.rose1,河北,2025-03-01 13:44:53,[快哭了][快哭了][快哭了],1
肥浩哥哥,江西,2025-03-01 13:44:53,[流泪][流泪][流泪],1
每一天^,广东,2025-03-01 13:44:53,[流泪][流泪][流泪][流泪],1
陈鱼仔,江苏,2025-03-01 13:44:53,[流泪][流泪][流泪],1
你班主任,浙江,2025-03-01 13:44:53,[流泪][流泪][流泪],1
二萌萌,河北,2025-03-01 13:44:28,！！！！！,1
狐狸^,贵州,2025-03-01 13:44:43,啊！？？？？？,3
骸痕,广东,2025-03-01 13:44:45,走好[流泪],2
别杀我,浙江,2025-03-01 13:44:27,不是,4
Ü蜻蜓聽（顺富版）,海南,2025-03-01 13:44:54,[流泪][流泪][流泪]天呐,1
001.🐹,吉林,2025-03-01 13:44:42,不敢相信[泣不成声],9
生活两地鸡毛,河南,2025-03-01 13:44:39,走好[流泪][流泪][流泪],4
夏野,湖南,2025-03-01 13:44:43,怎么就突然去世了？？？？[流泪],272
Xcpy.,湖北,2025-03-01 13:44:45,还我大同[流泪][流泪][流泪],3
＞𐋣＜,广西,2025-03-01 13:44:49,我去,1
王一树,浙江,2025-03-01 13:44:53,?,1
Justin🧷,四川,2025-03-01 13:44:41,别开玩笑[流泪],3
秋月寒,江苏,2025-03-01 13:44:43,啊？,3
拉泡热乎的到你嘴里,广西,2025-03-01 13:44:53,??,1
Likelihood7🥕,中国香港,2025-03-01 13:44:47,假的吧[流泪],48
王者荣耀我恨你,山东,2025-03-01 13:44:38,默哀[玫瑰][玫瑰][玫瑰],2
比利校长,辽宁,2025-03-01 14:56:18,怎么可能[流泪],0
孤,北京,2025-03-01 13:44:50,???,1
飯,湖南,2025-03-01 13:44:49,救命[流泪][流泪][流泪],1
小糖糖的糖,重庆,2025-03-01 13:44:43,难以置信,3
人不努力的话就是尸体,江苏,2025-03-01 13:44:46,真的吗？,16
CR7.,山东,2025-03-01 13:44:42,大同一路走好,4
720p,广东,2025-03-01 13:44:41,节哀[流泪][流泪][流泪],2
是删青啊,辽宁,2025-03-01 14:32:03,走好 🕯️,0
一个果冻3.5,辽宁,2025-03-01 13:44:50,？,1
今天星期八,广西,2025-03-01 13:44:41,？,1
多宝多宝,河南,2025-03-01 13:44:53,不可能吧！,9
快乐陈陈小狗,浙江,2025-03-01 13:44:41,[流泪],0
青山留柴,河北,2025-03-01 13:44:27,啊？,3
小美-🧚‍♀️,安徽,2025-03-01 13:44:31,[发呆][发呆][发呆]啊！这么突然,16
散弹葡萄ovo,内蒙古,2025-03-01 13:44:32,？,1
yxw,河南,2025-03-01 13:44:44,一路走好，大同[流泪][流泪][流泪],1
⬆️➡️⬇️⬇️⬇️,四川,2025-03-01 13:44:53,？,1
蛋挞封心锁爱,甘肃,2025-03-01 13:44:38,大同 为什么啊,314
钟大辉🥷🏻,广东,2025-03-01 14:16:18,不敢相信,0
snow,山西,2025-03-01 13:44:43,？,1
ddddddd,广东,2025-03-01 13:44:46,？,1
sml是猪,四川,2025-03-01 13:44:55,啊？？,1
0620,四川,2025-03-01 13:44:54,？[流泪][流泪][流泪],1
蔓越莓小饼,辽宁,2025-03-01 13:44:45,不要啊[流泪][流泪][流泪],2
斯坦福桥第1️⃣抽象,辽宁,2025-03-01 13:44:33,我去[流泪][流泪][流泪],2
error.,上海,2025-03-01 13:44:55,？,5
I'll,广东,2025-03-01 13:44:51,？,1
soul power,四川,2025-03-01 13:44:53,假的一定是假的[流泪][流泪][流泪],19
土豆泥^,新疆,2025-03-01 13:44:39,[流泪][流泪][流泪]一路走好,1
无敌幸运星,河北,2025-03-01 13:44:19,？？？,7
@小王没有网,江苏,2025-03-01 13:44:31,[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声],0
Huan.欢,江西,2025-03-01 13:44:44,[流泪][流泪][流泪],0
老折不发合照不改名,河南,2025-03-01 13:44:51,啊？？？,0
超级无敌嗜睡大王,湖南,2025-03-01 13:44:36,走好[流泪][流泪][流泪],0
Kristenwho_ow,广东,2025-03-01 13:49:25,逝者安息🕯,1
Try,湖南,2025-03-01 13:44:34,一路走好[玫瑰],2
丰岛,浙江,2025-03-01 14:01:06,这……哎……🕯,1
小kiu,河南,2025-03-01 13:44:51,不能接受[流泪][流泪],3
淚,四川,2025-03-01 13:44:49,？,3
蓝色海洋@,安徽,2025-03-01 13:44:51,不敢相信,3
苦昼短,广西,2025-03-01 13:44:51,太突然了啊,0
31^,湖南,2025-03-01 13:44:46,@哒 ？,1
别杀我,浙江,2025-03-01 13:44:09,？？？？？,11
幺鸡是只基🐶,四川,2025-03-01 13:44:55,天呐,4
隔壁小王爷,浙江,2025-03-01 13:44:39,？,3
朱に染まる,河北,2025-03-01 13:44:54,？,3
入冬枷锁,上海,2025-03-01 13:44:42,不是吧[宕机][宕机][宕机],3
ℒℴѵℯ,河南,2025-03-01 13:44:46,啊？真的假的,32
Ponoy,河南,2025-03-01 13:44:44,我不同意啊啊啊,4
(ᕑᗢᓫ∗),广东,2025-03-01 13:44:54,[发呆]真的吗,9
小含含,福建,2025-03-01 13:44:40,[流泪][流泪][流泪],0
逸尘1,广东,2025-03-01 13:44:49,[流泪][流泪][流泪][流泪][流泪][流泪],0
XL.,江西,2025-03-01 13:44:47,[流泪][流泪][流泪],0
dyfigvfuenth520,海南,2025-03-01 13:44:53,[流泪][流泪][流泪][流泪],0
Clove🪈,江苏,2025-03-01 13:44:43,[流泪][流泪][流泪],0
顺顺顺,广东,2025-03-01 13:44:32,[石化][石化][石化],0
七羽,北京,2025-03-01 13:44:46,[泪奔][泪奔][泪奔],0
柳丁,吉林,2025-03-01 13:44:43,[流泪],0
胆小鬼,广东,2025-03-01 13:44:29,[流泪][流泪][流泪],0
冬瓜小姐,四川,2025-03-01 13:44:47,[苦涩][苦涩][苦涩],0
猫它妈🐱,河北,2025-03-01 13:44:52,啊？？,0
一只冷酷气,辽宁,2025-03-01 13:44:31,不要啊@Nell,2
天空,天津,2025-03-01 13:44:48,？？？？？？[发呆],3
ι L,贵州,2025-03-01 13:44:41,不敢相信！,1
翡翠甄选（淑姐&小马哥）,广东,2025-03-01 14:03:51,一路走好[玫瑰]安息,0
acetylsalicylate,河北,2025-03-01 13:44:46,接受不了啊[流泪][流泪][流泪],0
❤️‍🩹,浙江,2025-03-01 13:44:52,这不是真的[流泪],3
Wwwwwww.,江苏,2025-03-01 13:44:28,[流泪][流泪][流泪] 走好,2
养一只月亮🌙,广东,2025-03-01 13:44:51,真的吗？不敢相信,5
Autumn Leaves,广西,2025-03-01 13:44:28,真的接受不了[流泪][流泪][流泪][流泪][流泪][流泪],5
上紫小川,安徽,2025-03-01 13:44:28,[流泪][流泪][流泪],0
芒果驴,四川,2025-03-01 13:44:42,[泣不成声][泣不成声][泣不成声],0
yuu_,黑龙江,2025-03-01 13:44:27,[流泪][流泪][流泪],0
北北a🌈🌈,广东,2025-03-01 13:44:46,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],0
你怎么Jay样啊,浙江,2025-03-01 13:44:39,[流泪][流泪][流泪][玫瑰][玫瑰][玫瑰],0
嘭咚咚,江苏,2025-03-01 13:44:45,[吐血][吐血][吐血],0
小小老子降临,广东,2025-03-01 13:44:45,？啊,0
黎晓,重庆,2025-03-01 13:44:51,。。。,0
BIII🧣,湖南,2025-03-01 13:44:33,[眼含热泪][眼含热泪][眼含热泪]😭,0
5秒,广东,2025-03-01 13:44:53,[流泪][流泪][流泪]不要啊。,3
ㅤ无悔,山东,2025-03-01 13:44:42,？,0
捱止隼,黑龙江,2025-03-01 13:44:55,？,0
明天一定吃早饭,河北,2025-03-01 13:44:46,？？,0
12点前必睡觉,浙江,2025-03-01 13:44:29,？,0
我的狗,河北,2025-03-01 13:44:47,？？,2
QQ企鹅,江苏,2025-03-01 13:44:46,？,0
帝皇铠甲,河南,2025-03-01 13:44:51,？,0
大喜工作室,陕西,2025-03-01 13:44:42,？,0
小小瑞,江苏,2025-03-01 13:44:45,？,0
瑷,江西,2025-03-01 13:44:52,？,0
Elo,重庆,2025-03-01 13:44:52,[流泪][流泪][流泪],0
￴ ￴ ￴ ￴ ￴￴,河北,2025-03-01 13:44:33,[流泪][流泪][流泪],0
长大养只猫,山东,2025-03-01 13:44:39,[流泪][流泪][流泪],0
🌈亏子哥,广东,2025-03-01 13:44:39,[流泪][流泪][流泪],0
🤐,海南,2025-03-01 13:44:41,[流泪][流泪][流泪],0
skindong,四川,2025-03-01 13:44:50,[流泪][流泪][流泪],0
❂ ❂ ❂ ❂,江苏,2025-03-01 13:44:52,[流泪][流泪][流泪],0
Min,广东,2025-03-01 13:44:36,[流泪][流泪][流泪],0
深花繁雨.,吉林,2025-03-01 13:44:30,[泣不成声],0
Y_,广东,2025-03-01 13:44:43,[流泪],0
wwb,广东,2025-03-01 13:44:49,[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪],0
Fyle～,广东,2025-03-01 13:44:50,[流泪][流泪][流泪],0
捏你小肥脸,上海,2025-03-01 13:44:49,[流泪][流泪][流泪],0
悠,江苏,2025-03-01 13:44:39,啊？？？,0
Answer. ☭,陕西,2025-03-01 13:44:54,一路走好💐[流泪][流泪][流泪],0
教AE的李老师,北京,2025-03-01 14:15:27,心痛💔,0
爱噜噜脸,辽宁,2025-03-01 13:44:30,不要啊[流泪][流泪],0
0410,山东,2025-03-01 13:44:41,？,0
用户17313080877,新加坡,2025-03-01 13:44:27,？,1
菠萝吃不起派,广东,2025-03-01 13:44:53,？不是,0
宇宙无敌厉害最帅托马斯暴龙战士🇵🇸,河南,2025-03-01 13:44:52,[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][玫瑰][玫瑰][玫瑰][玫瑰],0
花海丶,四川,2025-03-01 13:44:35,[流泪][流泪][流泪],0
k.,安徽,2025-03-01 13:44:49,[泣不成声][泣不成声][泣不成声],0
及叶,贵州,2025-03-01 13:44:51,[流泪][流泪][流泪],0
雷雷～,广东,2025-03-01 13:44:41,[发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆][发呆],0
7iov8,安徽,2025-03-01 13:44:34,[流泪][流泪][流泪],0
一′,上海,2025-03-01 13:44:42,[流泪][流泪][流泪],0
城情,湖北,2025-03-01 13:44:50,[流泪][流泪][流泪],0
下雨,山东,2025-03-01 13:44:37,[流泪][流泪][流泪],0
周周有钱花_,湖南,2025-03-01 13:44:37,[流泪][流泪][流泪],0
庾.,山西,2025-03-01 13:44:36,[流泪][流泪][流泪],0
