昵称,地区,日期,评论,评论点赞
小魚,浙江,2025-03-01 13:44:53,妈呀真的好突然[流泪][流泪][流泪],24
怀迟,湖北,2025-03-01 13:44:31,我的天呀，太突然了,122
夜辉,福建,2025-03-01 14:31:20,特别的人[流泪],9
白吻ovo,河北,2025-03-01 13:53:17,？？不是 这也太突然了,107
黄小渤,贵州,2025-03-01 15:01:12,特别的人一路走好[感谢][感谢],2
Nicole Zhang,山东,2025-03-01 13:44:29,rip,5
軟（摄影版📷）,辽宁,2025-03-01 13:44:29,不是太突然了[流泪][流泪][流泪],113
海粼诗,斯里兰卡,2025-03-01 13:44:53,第一[流泪][流泪][流泪],11
小徐大经理,湖北,2025-03-01 13:44:16,[流泪][流泪][流泪][泣不成声][泣不成声][泣不成声],20
别管我,四川,2025-03-01 13:44:53,不是才二十三吗[流泪][流泪][流泪],337
以为,福建,2025-03-01 13:44:56,[流泪][流泪][流泪],14
*ʚAynɞ*,安徽,2025-03-01 13:44:50,不要呀[流泪][流泪][流泪]真的假的[流泪][流泪][流泪],46
酸辣香,广西,2025-03-01 16:03:54,天呐[流泪],1
星海与爱,江苏,2025-03-01 13:44:37,[玫瑰][玫瑰][玫瑰][流泪][流泪][流泪],13
95后叔叔,海南,2025-03-01 13:44:54,天啊…这是真的吗,2647
派大林小小厨,福建,2025-03-01 15:52:43,今年是怎么了…年还没过完多久，震惊的事情一件接一件,27
周而復始,湖北,2025-03-01 13:44:54,啊啊啊,6
放下玫瑰与碱,广东,2025-03-01 13:44:36,不敢相信是真的[流泪][流泪][流泪],133
豹无,广东,2025-03-01 13:44:51,啊[流泪],7
金先生.,广东,2025-03-01 15:59:47,他唱的wonderful tonight最有感觉[逞强落泪],2
ko可碧,广东,2025-03-01 13:44:50,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],10
Smurfs,广东,2025-03-01 13:44:54,[快哭了][快哭了][快哭了],11
生如夏花.,河南,2025-03-01 13:44:34,rip,17
纽约熙鸽哥,美国,2025-03-01 13:51:43,RIP🤍❤️‍🩹,6
2水盘锦河蟹,辽宁,2025-03-01 13:44:27,[流泪][流泪][流泪],10
葉𥴰,重庆,2025-03-01 13:44:51,[流泪][流泪][流泪][流泪],9
小猪stop,福建,2025-03-01 13:44:23,[流泪][流泪][流泪]大同,59
🤓,江苏,2025-03-01 13:44:22,[流泪][流泪][流泪],6
遇安啊,河南,2025-03-01 13:44:46,好突然啊,3
⁺✞ʚ劳大重度依赖ɞ✟₊,山东,2025-03-01 13:44:47,快出来辟谣啊[流泪],34
🌈工藤饼干,广东,2025-03-01 13:44:54,[流泪][流泪][流泪]天哪 是真的,47
好果汁儿,安徽,2025-03-01 13:44:55,[凋谢][凋谢][凋谢],5
金小胖🏸,浙江,2025-03-01 14:01:31,真难受[流泪],5
粥饼恋,辽宁,2025-03-01 13:44:50,@ʚ藤椒鱼大王ɞ @虚心. [泣不成声][泣不成声][泣不成声],5
pg,贵州,2025-03-01 13:44:39,[流泪][流泪][流泪][流泪][流泪][流泪][流泪],5
李子子,陕西,2025-03-01 13:55:36,刚还在听歌…,7
octopus,江苏,2025-03-01 13:44:20,[泣不成声][泣不成声][泣不成声],5
zxy,江苏,2025-03-01 13:44:54,[流泪][流泪][流泪],4
东方青苍,山西,2025-03-01 13:44:52,我天呢 好突然,18
7.%,山东,2025-03-01 13:44:55,啊？[流泪],6
睡醒回,山东,2025-03-01 13:44:53,[流泪][流泪][流泪],3
大帅逼,广东,2025-03-01 13:44:43,怎么这么突然啊[大哭][大哭][大哭][流泪][流泪][流泪][大哭][大哭][大哭][大哭][大哭][大哭]不要啊,33
小江小江,广东,2025-03-01 13:44:52,rip,5
倒吊人,河南,2025-03-01 13:44:43,[流泪],2
𝑵𝒆𝒚𝒎𝒂𝒓🔟,北京,2025-03-01 13:44:51,[流泪][流泪][流泪],2
财神爷家的小宝贝,广东,2025-03-01 13:44:28,[流泪][流泪][流泪]尊嘟假嘟,11
噗噗噗嘻🐯,湖北,2025-03-01 13:44:26,[流泪][流泪][流泪],4
吹纸宽,河北,2025-03-01 13:44:53,[发呆],3
Nicole Zhang,山东,2025-03-01 13:44:31,[流泪][流泪][流泪],2
徐哈哈陪你读书,陕西,2025-03-01 14:09:27,天呐，不要这么刀啊,28
66796479144,浙江,2025-03-01 15:27:07,我的天[流泪],2
臭豆腐大王（塔罗版）,广东,2025-03-01 13:44:49,[流泪][流泪][流泪],2
小涵大王,河南,2025-03-01 13:44:31,[流泪][流泪][流泪],2
ftfjkknswnnw,广东,2025-03-01 13:44:52,安息[流泪][流泪][流泪],12
ʚ嘘嘘小晴ɞ,北京,2025-03-01 13:44:53,1[流泪][流泪][流泪],2
you,福建,2025-03-01 13:44:32,[大哭][大哭][大哭],3
广西狠人谢广坤,福建,2025-03-01 13:44:44,快点出来辟谣[流泪][流泪][流泪],22
77🍔,福建,2025-03-01 13:44:55,[流泪][流泪][流泪],2
青青糯山少冰微糖,上海,2025-03-01 13:44:40,太突然了吧,15
这个昵称不错,广东,2025-03-01 13:44:55,[流泪],0
Q1ne,浙江,2025-03-01 13:44:44,这对吗,6
张厨美食教学,广东,2025-03-01 13:57:04,还是不敢相信[流泪],5
Moslos.,福建,2025-03-01 13:44:49,rip,1
Where,江西,2025-03-01 13:44:52,[流泪][流泪][流泪],2
